raga,artist,shruti,title,youtube_url
Bilahari,M Balamuralikrishna,1,Balamuralikrishna - Bilahari,https://www.youtube.com/watch?v=VFUKPblyBaE
Revati,T N Seshagopalan,2,T N Seshagopalan - Revati,https://www.youtube.com/watch?v=tRHdtbbEMd4
Revati,Sudha Ragunathan,4,Sudha Ragunathan - Revati,https://www.youtube.com/watch?v=WmcMlW1eUVk
Punnagavarali,M S Subbulakshmi,1,M S Subbulakshmi - Punnagavarali,https://www.youtube.com/watch?v=H3bEq-T7GZg
Punnagavarali,T M Krishna,3,T M Krishna - Punnagavarali,https://www.youtube.com/watch?v=hn4r9jSJTLM
Nilambari,M S Subbulakshmi,1,M S Subbulakshmi - Nilambari,https://www.youtube.com/watch?v=k6b3FPKW_8k
Nilambari,Sanjay Subrahmanyan,5,Sanjay - Nilambari,https://www.youtube.com/watch?v=sI8b_bsm80o
Amritavarshini,Bombay Jayashri,4,Bombay Jayashri - Amritavarshini,https://www.youtube.com/watch?v=zIfB-uiWk5o
Amritavarshini,Sudha Ragunathan,3,Sudha Ragunathan - Amritavarshini,https://www.youtube.com/watch?v=YLi0W3Xtlh8
Sivaranjani,Ranjani Gayatri,4,Ranjani Gayatri - Sivaranjani,https://www.youtube.com/watch?v=DaP7U5a-_HY
Sivaranjani,T M Krishna,2,T M Krishna - Sivaranjani,https://www.youtube.com/watch?v=HLDnVJebrto
Harikambhoji,T N Seshagopalan,3,T N Seshagopalan - Harikambhoji,https://www.youtube.com/watch?v=4P-cChFz7x8
Harikambhoji,Semmangudi Srinivasa Iyer,2,Semmangudi - Harikambhoji,https://www.youtube.com/watch?v=Bl9LbKdlNbU
Kalyani,M S Subbulakshmi,1,M S Subbulakshmi - Kalyani Kriti,https://www.youtube.com/watch?v=vAIaEJH-IZ8
Kalyani,T N Seshagopalan,3,T N Seshagopalan - Kalyani,https://www.youtube.com/watch?v=2W8vn8SdQbM
